#,type,is_trade,freq,day_count,ticker,ric_leg2,roll_rules,tcost,country,settle_d,freq_leg2,ric,ric_root,src,tenor,ccy,roll_conv,fix_cal,calc_cal,_update,curve_name,reset,fpml,roll,lag,pms_index,is_inverted,multiplier,cal
1301,IMM,0,1,Act/360,SFS00160 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS15YS2=,CHFOISSS2=,TR,15Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1302,IMM,0,1,Act/360,SFS00160 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS15YS2=TWEB,CHFOISSS2=TWEB,TWEB,15Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1303,IMM,0,1,Act/360,SFS00160 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS15YS2=YIN,CHFOISSS2=YIN,YIN-L,15Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1304,IMM,0,1,Act/360,SFS00004 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS1YS1=,CHFOISSS1=,TR,1Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1305,IMM,0,1,Act/360,SFS00004 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS1YS1=TWEB,CHFOISSS1=TWEB,TWEB,1Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1306,IMM,0,1,Act/360,SFS00004 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS1YS1=YIN,CHFOISSS1=YIN,YIN-L,1Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1307,IMM,0,1,Act/360,SFS00104 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS1YS2=,CHFOISSS2=,TR,1Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1308,IMM,0,1,Act/360,SFS00104 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS1YS2=TWEB,CHFOISSS2=TWEB,TWEB,1Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1309,IMM,0,1,Act/360,SFS00104 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS1YS2=YIN,CHFOISSS2=YIN,YIN-L,1Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1310,IMM,0,1,Act/360,SFS00080 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS20YS1=,CHFOISSS1=,TR,20Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1311,IMM,0,1,Act/360,SFS00080 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS20YS1=TWEB,CHFOISSS1=TWEB,TWEB,20Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1312,IMM,0,1,Act/360,SFS00080 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS20YS1=YIN,CHFOISSS1=YIN,YIN-L,20Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
